Phone,Email,CreditScore,AgeGroup,FamilyBackground,Income,Clicks,TimeOnSite,CityTier,Comments,Intent
+91-8697157321,user79@test.com,422,18-25,Married with Kids,439291,15,2.7302502680833096,T3,urgent,1
+91-9567960845,user80@test.com,648,36-50,Single,656507,16,3.286330827811689,T1,looking for 3BHK,0
+91-8402481934,user81@test.com,629,18-25,Married with Kids,261932,8,3.5111617185036135,T1,looking for 3BHK,0
+91-7380072391,user82@test.com,708,26-35,Married,875819,2,8.569537581006843,T3,just browsing,0
+91-9450038221,user83@test.com,622,18-25,Single,252135,13,5.780188407359132,T3,just browsing,0
+91-7841739990,user84@test.com,410,36-50,Married,966033,2,9.739763961037054,T2,call later,0
+91-9236966139,user85@test.com,388,18-25,Married with Kids,517540,5,6.271621744785692,T1,urgent,1
+91-7194249720,user86@test.com,732,36-50,Married,297894,18,7.058822039082193,T1,not interested,0
+91-8397283111,user87@test.com,398,36-50,Married,200494,12,0.891672042184859,T1,urgent,0
+91-8669356239,user88@test.com,838,26-35,Married,272738,4,9.5168035624424,T2,urgent,1
+91-8165435217,user89@test.com,445,51+,Married with Kids,734001,0,6.28056490745133,T1,urgent,0
+91-9317960046,user90@test.com,556,51+,Single,387013,11,5.2018066006960115,T1,call later,0
+91-9520077079,user91@test.com,488,18-25,Married with Kids,347321,14,3.8740378406952845,T2,call later,0
+91-8532243865,user92@test.com,539,36-50,Married with Kids,433308,18,0.7705001242247667,T3,urgent,0
+91-8206604539,user93@test.com,802,26-35,Married with Kids,129093,1,1.3334700517036957,T2,not interested,1
+91-9607192251,user94@test.com,570,51+,Single,479443,2,0.11695196926140294,T2,not interested,0
+91-9330861947,user95@test.com,819,26-35,Married with Kids,876608,6,9.986924846668508,T3,not interested,0
+91-8185407468,user96@test.com,849,26-35,Married with Kids,559412,10,7.862896224242424,T1,call later,1
+91-7605264936,user97@test.com,413,36-50,Single,541232,9,7.974519440782282,T3,just browsing,0
+91-8272485020,user98@test.com,638,18-25,Single,250634,7,7.300902381384468,T1,not interested,0
+91-7709816108,user99@test.com,658,36-50,Single,693213,1,4.841060420895753,T2,just browsing,0
+91-7320192576,user100@test.com,633,51+,Married,863962,13,0.8819719211559018,T1,urgent,1
+91-7067157848,user101@test.com,468,51+,Single,201367,12,0.7226904139913881,T2,not interested,0
+91-8818495496,user102@test.com,638,26-35,Married,679841,6,9.16374236985588,T1,urgent,0
+91-8696003200,user103@test.com,560,36-50,Married,157279,8,0.003144519538466062,T2,urgent,1
+91-7853477355,user104@test.com,498,36-50,Married with Kids,135608,6,6.99102858920885,T1,looking for 3BHK,0
+91-8260522119,user105@test.com,510,26-35,Married,160840,0,6.285784155296081,T1,urgent,0
+91-7023717335,user106@test.com,586,18-25,Married with Kids,635058,0,5.012253451433124,T1,urgent,0
+91-7060472382,user107@test.com,771,26-35,Married,679749,5,9.749505870371957,T3,call later,0
+91-7854021618,user108@test.com,781,26-35,Single,615096,0,1.9812835496199332,T2,urgent,0
+91-9602578298,user109@test.com,322,51+,Married with Kids,388771,15,7.85286450874341,T2,not interested,0
+91-7318019332,user110@test.com,408,36-50,Married,892578,2,6.748391917161049,T2,call later,0
+91-8539598566,user111@test.com,595,51+,Married with Kids,974913,12,9.744317972311523,T3,looking for 3BHK,0
+91-9796354553,user112@test.com,305,26-35,Single,946185,3,9.340718261923627,T3,looking for 3BHK,0
+91-7497653800,user113@test.com,849,36-50,Married,976912,16,1.2857128017681263,T3,urgent,0
+91-9677045063,user114@test.com,502,26-35,Married,608442,9,3.0771646411357123,T3,just browsing,0
+91-8930375947,user115@test.com,624,26-35,Single,414223,3,8.508001209548206,T1,looking for 3BHK,0
+91-8421196193,user116@test.com,543,18-25,Married,479225,19,2.286605050834324,T2,looking for 3BHK,1
+91-7409783328,user117@test.com,626,51+,Married,682362,11,3.785395476997311,T1,looking for 3BHK,1
+91-7272981039,user118@test.com,346,51+,Married with Kids,444960,12,6.259638666583891,T3,not interested,1
+91-8592652278,user119@test.com,312,26-35,Married,778611,3,5.629139277906799,T3,just browsing,0
+91-8335658902,user120@test.com,679,18-25,Single,194771,15,6.406065598063914,T1,urgent,0
+91-9872651325,user121@test.com,664,26-35,Married,525112,18,7.134881644373749,T2,urgent,0
+91-8396651735,user122@test.com,641,26-35,Married with Kids,794473,6,7.287699904132824,T3,call later,0
+91-9860114724,user123@test.com,520,26-35,Married,284783,0,7.375575968218767,T1,not interested,0
+91-9539604651,user124@test.com,372,18-25,Married with Kids,899754,15,9.916767800559539,T1,just browsing,0
+91-9738288487,user125@test.com,345,36-50,Married,107747,1,3.5658727163080526,T1,call later,0
+91-8179921109,user126@test.com,803,18-25,Married with Kids,356632,0,0.44186361716020306,T1,just browsing,0
+91-9410522146,user127@test.com,573,26-35,Married with Kids,459892,13,3.4886201437907207,T2,looking for 3BHK,0
+91-9028147648,user128@test.com,507,36-50,Married,738990,19,9.115759289648476,T2,just browsing,0
+91-8644658402,user129@test.com,423,26-35,Single,864984,4,0.8338888564098568,T3,call later,0
+91-7513653348,user130@test.com,309,18-25,Single,158697,14,6.469422171906784,T3,not interested,0
+91-9410667225,user131@test.com,628,18-25,Married,135903,9,4.2316143260453,T2,not interested,0
+91-8013547510,user132@test.com,486,36-50,Married,298885,1,9.215728342660055,T2,looking for 3BHK,0
+91-8099805069,user133@test.com,842,18-25,Married,534186,10,9.285732577409865,T1,urgent,0
+91-9120835942,user134@test.com,359,26-35,Married,298264,15,7.852445821625993,T1,call later,0
+91-7173660954,user135@test.com,741,36-50,Married,928639,18,0.9852029149559316,T1,urgent,0
+91-9245120392,user136@test.com,516,51+,Single,474496,3,0.24714957464907483,T3,looking for 3BHK,0
+91-8836274702,user137@test.com,301,26-35,Married with Kids,150812,9,1.3659005789916057,T3,just browsing,1
+91-7476272473,user138@test.com,835,51+,Married with Kids,658819,11,3.218239969004919,T3,just browsing,0
+91-7109174313,user139@test.com,655,36-50,Single,878781,1,2.4143185919747543,T3,looking for 3BHK,1
+91-8886935931,user140@test.com,464,36-50,Single,609433,1,3.6975917016224704,T1,not interested,0
+91-7463390156,user141@test.com,390,26-35,Married with Kids,557225,8,1.4307702605271722,T3,call later,1
+91-7866377394,user142@test.com,466,18-25,Single,770773,11,7.525031491139811,T3,looking for 3BHK,1
+91-7134987326,user143@test.com,506,26-35,Married,271705,1,8.452965249643373,T1,looking for 3BHK,1
+91-9733361894,user144@test.com,581,18-25,Single,875886,17,4.879525533296287,T1,call later,0
+91-9041699568,user145@test.com,364,18-25,Single,303518,15,9.565267482167172,T2,not interested,0
+91-8350148659,user146@test.com,815,26-35,Single,160032,18,1.2034444993515636,T1,not interested,0
+91-9419250172,user147@test.com,456,36-50,Single,528601,14,1.058138931269501,T3,call later,0
+91-9184294495,user148@test.com,605,26-35,Married with Kids,606260,15,2.00399151160961,T1,urgent,1
+91-9987218819,user149@test.com,694,51+,Married with Kids,201058,5,9.819125566838188,T3,just browsing,1
+91-7598424036,user150@test.com,373,36-50,Married with Kids,977472,14,4.164978118324392,T2,call later,1
+91-8070701974,user151@test.com,486,18-25,Married with Kids,697925,11,9.24105805539367,T2,not interested,0
+91-9595952870,user152@test.com,636,36-50,Married,412722,11,2.020097542040938,T2,urgent,0
+91-8762581228,user153@test.com,539,26-35,Married,828963,9,8.461031400809818,T3,looking for 3BHK,0
+91-9318599822,user154@test.com,832,36-50,Married with Kids,259307,14,3.100183697437732,T3,looking for 3BHK,0
+91-7872141340,user155@test.com,440,18-25,Married with Kids,170744,3,7.343994041991076,T2,looking for 3BHK,0
+91-7982680611,user156@test.com,564,18-25,Married with Kids,867841,9,9.744618166227372,T2,just browsing,0
+91-7330626207,user157@test.com,438,36-50,Single,175961,18,9.33024643981102,T3,not interested,1
+91-9572107590,user158@test.com,758,51+,Married,390629,13,8.313281279796215,T3,urgent,1
+91-8244473018,user159@test.com,369,18-25,Married,722347,9,0.5020611951497322,T3,not interested,0
+91-9984078578,user160@test.com,684,51+,Single,244254,16,6.07769881837106,T3,just browsing,0
+91-7692440149,user161@test.com,497,18-25,Single,827118,10,8.354481891113258,T2,just browsing,0
+91-9681580201,user162@test.com,504,36-50,Single,638768,17,3.993265898073064,T2,call later,0
+91-8269737021,user163@test.com,730,18-25,Married,812320,1,7.311879486031434,T1,not interested,0
+91-9720448440,user164@test.com,624,51+,Single,282285,10,1.3811317913449117,T1,looking for 3BHK,0
+91-7453094388,user165@test.com,741,51+,Single,687382,7,1.767651055745757,T3,call later,0
+91-8960801051,user166@test.com,587,36-50,Single,800417,18,6.437094974122003,T2,not interested,1
+91-7938194539,user167@test.com,525,51+,Married with Kids,856227,15,4.371110202378215,T3,call later,0
+91-7801312299,user168@test.com,363,51+,Single,463251,3,2.182512554742553,T1,call later,1
+91-8788896595,user169@test.com,797,36-50,Married with Kids,204513,13,2.8287398929063468,T3,urgent,0
+91-9316457290,user170@test.com,359,18-25,Married,921493,16,6.18918642334415,T1,call later,0
+91-8393051263,user171@test.com,696,36-50,Married,445689,10,7.253707861135217,T1,just browsing,1
+91-7524363766,user172@test.com,556,18-25,Married,377933,2,2.0761416560743537,T2,looking for 3BHK,0
+91-8530287576,user173@test.com,538,18-25,Married with Kids,744785,3,9.551939802904847,T3,urgent,0
+91-8365814502,user174@test.com,337,18-25,Single,985307,12,0.08178706992683527,T2,call later,0
+91-7472669408,user175@test.com,324,26-35,Married,861063,16,7.00062273356961,T1,urgent,1
+91-8168799104,user176@test.com,709,18-25,Single,650575,19,2.910006466994699,T1,looking for 3BHK,1
+91-7978974072,user177@test.com,760,36-50,Married with Kids,377158,19,4.785145895827162,T3,looking for 3BHK,0
+91-9781807898,user178@test.com,716,36-50,Married,531813,9,5.698470469471638,T3,urgent,1
+91-8834414013,user179@test.com,656,36-50,Single,641755,11,5.615218345889417,T3,not interested,1
+91-7002235000,user180@test.com,682,26-35,Single,609853,7,7.762776907787277,T3,looking for 3BHK,0
+91-8514271692,user181@test.com,457,51+,Married,449594,2,8.238308186185803,T1,just browsing,0
+91-8309025538,user182@test.com,732,26-35,Single,285426,9,0.7334935972139922,T1,just browsing,1
+91-7029859174,user183@test.com,347,36-50,Married with Kids,702185,6,7.030089140458794,T1,call later,0
+91-7707191493,user184@test.com,627,36-50,Married,482262,9,3.9905749395486967,T2,not interested,0
+91-9193642951,user185@test.com,732,51+,Married,296037,6,8.185892711946089,T2,not interested,0
+91-9293896602,user186@test.com,730,26-35,Married,622265,17,6.088903711781624,T2,call later,0
+91-8792766600,user187@test.com,355,36-50,Married,709705,19,0.10236431290477577,T3,looking for 3BHK,1
+91-9082328893,user188@test.com,567,18-25,Married with Kids,384024,13,6.66465086368807,T1,urgent,0
+91-7953945764,user189@test.com,368,18-25,Married with Kids,357266,11,9.257102408562345,T2,not interested,0
+91-9973990112,user190@test.com,748,36-50,Single,219618,7,0.8309690318068086,T3,not interested,0
+91-7514817842,user191@test.com,556,18-25,Married with Kids,938978,6,4.9423072741368905,T3,looking for 3BHK,0
+91-8157117161,user192@test.com,789,51+,Single,406160,4,6.258535064496843,T3,urgent,0
+91-8450046123,user193@test.com,348,36-50,Single,388123,0,1.958635523057447,T1,just browsing,0
+91-8048511127,user194@test.com,615,26-35,Married,947948,14,6.506915516333056,T3,not interested,0
+91-7722804538,user195@test.com,712,36-50,Single,148741,8,0.49798459254432936,T2,looking for 3BHK,0
+91-8388146037,user196@test.com,733,51+,Married,558251,11,9.056792592796306,T3,not interested,0
+91-7939585183,user197@test.com,301,26-35,Single,943565,17,7.6265384830823155,T1,just browsing,1
+91-9228188767,user198@test.com,444,51+,Married with Kids,375504,10,9.410234655606866,T1,call later,0
+91-9397029847,user199@test.com,665,18-25,Married,611229,9,4.18426423900299,T3,looking for 3BHK,0
+91-8734463155,user200@test.com,719,18-25,Single,429083,9,0.3420384269037602,T1,urgent,1
+91-8561777264,user201@test.com,743,18-25,Married with Kids,922520,17,3.4153408774104363,T1,call later,0
+91-7278710077,user202@test.com,733,51+,Married with Kids,336615,0,5.157515497559167,T2,urgent,0
+91-8090558393,user203@test.com,356,51+,Married,442462,19,9.358718750448688,T2,just browsing,1
+91-8060324619,user204@test.com,477,36-50,Married,507236,10,8.830664867445309,T3,urgent,0
+91-8081396733,user205@test.com,592,26-35,Married,500636,1,5.940717916067257,T1,not interested,0
+91-9990604070,user206@test.com,345,26-35,Single,713347,10,7.297522521435712,T1,just browsing,0
+91-9135666049,user207@test.com,469,51+,Married,395781,1,9.538982922036896,T1,call later,1
+91-8292262512,user208@test.com,570,51+,Married with Kids,794570,8,8.505915924618318,T2,not interested,1
+91-7636028516,user209@test.com,716,18-25,Married with Kids,917885,0,6.588193950376835,T1,not interested,0
+91-8223380592,user210@test.com,438,51+,Married,240347,5,5.400551569225348,T2,just browsing,0
+91-7158428240,user211@test.com,546,18-25,Married,261124,1,4.760407618959733,T1,urgent,0
+91-8145815738,user212@test.com,447,51+,Married with Kids,622396,14,7.566097476347266,T2,urgent,0
+91-9618058864,user213@test.com,529,26-35,Single,851957,0,8.087730151859434,T3,call later,0
+91-9158989953,user214@test.com,673,36-50,Married with Kids,264813,17,2.1764400204055234,T3,just browsing,0
+91-8765390555,user215@test.com,379,51+,Married with Kids,524829,3,4.7402511305727,T1,call later,1
+91-7221099573,user216@test.com,364,18-25,Married with Kids,453481,12,7.71152689414402,T1,looking for 3BHK,1
+91-7141951830,user217@test.com,387,36-50,Married,863658,3,6.757074981966193,T2,just browsing,0
+91-8196777444,user218@test.com,387,18-25,Single,672450,14,5.915768207697575,T2,looking for 3BHK,0
+91-8482069727,user219@test.com,503,18-25,Single,851126,1,3.237265270148643,T2,call later,0
+91-9724518272,user220@test.com,681,36-50,Married,394343,8,6.092186896026855,T1,looking for 3BHK,0
+91-8028910482,user221@test.com,775,36-50,Married with Kids,619060,11,6.121444710616968,T2,looking for 3BHK,0
+91-9923607677,user222@test.com,838,36-50,Married,117572,13,4.324331642829713,T1,not interested,0
+91-7622318721,user223@test.com,513,51+,Married,498363,19,9.602997206233129,T2,not interested,0
+91-9280346676,user224@test.com,373,36-50,Single,365587,3,6.531213835828915,T1,call later,0
+91-9102183595,user225@test.com,360,51+,Single,341502,14,8.506970513256162,T2,call later,0
+91-8923214041,user226@test.com,842,26-35,Married,194521,3,1.2895817740255744,T2,urgent,0
+91-9374657733,user227@test.com,518,26-35,Married,171220,4,7.567795900244569,T2,looking for 3BHK,0
+91-8039619487,user228@test.com,311,18-25,Single,375739,9,6.018692904331745,T1,urgent,1
+91-9545613046,user229@test.com,714,18-25,Single,691145,11,3.082774183890428,T3,urgent,0
+91-9886800195,user230@test.com,331,51+,Married with Kids,901242,11,1.3636210476701416,T3,just browsing,0
+91-7347262390,user231@test.com,459,18-25,Married,872071,7,3.79647177213974,T1,urgent,0
+91-8587653815,user232@test.com,536,26-35,Married with Kids,237812,3,4.4137716721231515,T1,urgent,1
+91-8020645498,user233@test.com,480,51+,Married with Kids,132712,2,1.407626466407429,T3,looking for 3BHK,0
+91-8040069008,user234@test.com,640,51+,Married with Kids,105468,0,6.701268872155492,T3,urgent,0
+91-8579616535,user235@test.com,757,36-50,Single,753756,17,3.071096521512109,T2,looking for 3BHK,0
+91-9019925828,user236@test.com,379,51+,Married with Kids,965486,19,8.060394500382188,T2,looking for 3BHK,1
+91-9715732851,user237@test.com,772,18-25,Single,374848,13,6.4834877728779325,T1,urgent,1
+91-9720989381,user238@test.com,411,26-35,Single,690262,16,3.1050241566140944,T3,looking for 3BHK,0
+91-8712937941,user239@test.com,591,18-25,Single,689988,5,3.600196140898184,T3,call later,0
+91-9301134730,user240@test.com,682,26-35,Married,498894,5,9.42147561616392,T1,call later,1
+91-7387791599,user241@test.com,316,36-50,Married with Kids,229443,9,9.481195205386527,T3,looking for 3BHK,0
+91-7647326920,user242@test.com,792,26-35,Single,427026,18,4.183708382190181,T2,call later,1
+91-8377739899,user243@test.com,630,36-50,Married,288059,9,6.79170079263289,T3,just browsing,1
+91-9182697146,user244@test.com,785,18-25,Married,267177,2,9.799721792479662,T3,not interested,0
+91-7801090885,user245@test.com,705,36-50,Married,463798,0,9.94051293625968,T2,call later,1
+91-9988493263,user246@test.com,416,51+,Single,248443,17,0.7213422570258188,T3,urgent,1
+91-7175127900,user247@test.com,414,51+,Single,921729,14,5.534991383184398,T2,call later,0
+91-9537865875,user248@test.com,848,26-35,Single,841892,19,7.2661724527400775,T2,just browsing,0
+91-8399982843,user249@test.com,846,18-25,Married,915185,3,1.8686611271955622,T2,just browsing,0
+91-9910116794,user250@test.com,635,18-25,Single,997142,17,8.219050234502541,T3,just browsing,0
+91-7945928099,user251@test.com,635,26-35,Married with Kids,185765,9,4.684543430537032,T2,call later,0
+91-7071244178,user252@test.com,446,51+,Single,498972,18,4.9775158964362545,T1,not interested,0
+91-9199422914,user253@test.com,421,36-50,Single,609230,16,2.7432304556050613,T3,urgent,0
+91-7972791954,user254@test.com,380,26-35,Married with Kids,684918,9,3.0014762033552933,T2,not interested,0
+91-8497509011,user255@test.com,674,36-50,Single,255675,3,0.8417318860464407,T1,call later,1
+91-9770996063,user256@test.com,362,36-50,Single,863880,4,9.315159881080476,T1,not interested,0
+91-7413075142,user257@test.com,803,18-25,Single,778668,6,3.8186678019625386,T2,looking for 3BHK,0
+91-7748898099,user258@test.com,748,51+,Single,202897,18,1.6223002149574972,T1,urgent,1
+91-9967554976,user259@test.com,727,36-50,Married,917688,18,1.4235470652501359,T2,looking for 3BHK,0
+91-8707558823,user260@test.com,726,51+,Single,417958,7,4.074060976075669,T1,looking for 3BHK,1
+91-8661015679,user261@test.com,720,18-25,Married with Kids,395105,0,6.322078987942107,T3,not interested,0
+91-9223725094,user262@test.com,621,26-35,Married with Kids,583919,7,7.777821207646242,T2,looking for 3BHK,1
+91-7590647936,user263@test.com,465,26-35,Married,282713,18,9.246049152108519,T1,urgent,1
+91-9902066954,user264@test.com,760,18-25,Single,781793,16,6.3570204810358355,T1,looking for 3BHK,1
+91-8464868827,user265@test.com,758,18-25,Married with Kids,654019,8,4.20661753337673,T2,call later,0
+91-7487365080,user266@test.com,488,36-50,Married,106401,19,4.219464626493366,T3,urgent,0
+91-7897955761,user267@test.com,763,18-25,Single,747280,15,5.74376961688306,T2,call later,0
+91-9325501342,user268@test.com,678,26-35,Married,486341,8,5.380408959262306,T1,call later,1
+91-9988371241,user269@test.com,301,51+,Single,200041,18,6.408146072424379,T2,just browsing,0
+91-8107850850,user270@test.com,663,51+,Married,249517,15,5.034104289722027,T3,just browsing,0
+91-7981614854,user271@test.com,371,51+,Married,568634,12,0.5899085170476281,T1,call later,0
+91-9834609915,user272@test.com,726,51+,Married with Kids,947444,18,5.00728351809305,T3,looking for 3BHK,0
+91-7751425679,user273@test.com,469,18-25,Married with Kids,565035,4,0.22533265969479688,T3,call later,1
+91-9384569336,user274@test.com,504,18-25,Married,257042,1,1.8060796366764587,T1,call later,0
+91-9218934259,user275@test.com,636,51+,Single,293962,3,3.8742766969028954,T3,just browsing,0
+91-9274831931,user276@test.com,771,18-25,Single,614744,11,5.513083011982279,T1,not interested,0
+91-8120252784,user277@test.com,494,36-50,Single,873607,17,1.8481817919754473,T3,not interested,0
+91-8038747649,user278@test.com,574,18-25,Single,285685,2,2.763006587915763,T3,not interested,0
+91-7399873327,user279@test.com,306,36-50,Single,950789,18,3.742109945302454,T1,call later,0
+91-9397852100,user280@test.com,477,36-50,Married with Kids,132235,3,1.9721520395966596,T3,call later,1
+91-9719150074,user281@test.com,541,18-25,Married,967827,3,9.987635654445128,T3,looking for 3BHK,0
+91-7810490870,user282@test.com,502,51+,Married with Kids,566351,15,8.0471328469366,T3,just browsing,0
+91-8456121864,user283@test.com,842,36-50,Single,634716,10,8.109366172445435,T2,call later,0
+91-8197743336,user284@test.com,761,18-25,Married,278257,12,5.68863856595205,T3,urgent,0
+91-8499843682,user285@test.com,379,26-35,Single,562635,10,9.613246201843493,T2,urgent,0
+91-8737349173,user286@test.com,822,51+,Single,971603,6,7.322006580416566,T1,just browsing,0
+91-9757504919,user287@test.com,716,26-35,Married,793181,13,3.30878633492534,T1,urgent,0
